Issue key;Commit ID;Associated Files
XWIKI-13362;867fc669d136a15cfe9ba8b1c379c89fea5d2ba6;['xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;2107fdae6fc88bef1d450788beb5899aef1c2adb;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;ff1199b6196a44b86fa59a5092daf665300e9d0d;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js']
XWIKI-16083;677410679c6a47263496473a5a36b1c17e0a27f9;['xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/XWikiClasses.xml', 'xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/ClassSheet.xml']
XWIKI-16124;b4feab738b75ff39d4f42859f87d01deba580d2f;['xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/internal/context/XWikiContextContextStore.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/context/XWikiContextContextStoreTest.java']
XWIKI-1660;2d595eb14c283e57edc15893b2f5d72cda2df417;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java']
XWIKI-16083;677410679c6a47263496473a5a36b1c17e0a27f9;['xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/ClassSheet.xml', 'xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/XWikiClasses.xml']
XWIKI-16124;b4feab738b75ff39d4f42859f87d01deba580d2f;['xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/internal/context/XWikiContextContextStore.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/context/XWikiContextContextStoreTest.java']
XWIKI-1660;2d595eb14c283e57edc15893b2f5d72cda2df417;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java']
XWIKI-16083;677410679c6a47263496473a5a36b1c17e0a27f9;['xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/ClassSheet.xml', 'xwiki-platform-core/xwiki-platform-xclass/xwiki-platform-xclass-ui/src/main/resources/XWiki/XWikiClasses.xml']
XWIKI-16124;b4feab738b75ff39d4f42859f87d01deba580d2f;['xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/internal/context/XWikiContextContextStore.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/context/XWikiContextContextStoreTest.java']
XWIKI-1660;2d595eb14c283e57edc15893b2f5d72cda2df417;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java']
XWIKI-1660;35f0646ee57d2bca4fb8c2ab281a2f709bdca558;['xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListener.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/test/java/org/xwiki/refactoring/internal/listener/UpdateObjectsOnClassRenameListenerTest.java', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/src/main/resources/META-INF/components.txt', 'xwiki-platform-core/xwiki-platform-refactoring/xwiki-platform-refactoring-default/pom.xml']
