Class;Coverage;Estimate Complexity
DefaultWriterOutputTarget;[60%-70%];1.0
DefaultXDOMOfficeDocumentBuilder;[80%-90%];1.55
DefaultXHTMLImageRenderer;[90%-100%];1.55
DefaultXHTMLImageTypeRenderer;[90%-100%];1.0
DefaultXHTMLLinkRenderer;[90%-100%];1.55
DefaultXHTMLLinkTypeRenderer;[90%-100%];1.0
DefaultXHTMLOfficeDocumentBuilder;[80%-90%];3.48
DefaultXMLInputFilterStream;[70%-80%];1.0
DefaultXMLOutputFilterStream;[70%-80%];1.0
DefaultXMLParser;[70%-80%];4.3
DefaultXMLParser.Block;[70%-80%];3.2
DefaultXMLParserFactory;[30%-40%];1.55
DefaultXMLSerializer;[80%-90%];4.03
DefaultXMLSerializerFactory;[90%-100%];1.55
DefaultXWikiBridge;[80%-90%];3.2
DefaultXWikiContextInitializer;[60%-70%];2.65
DefaultXWikiDocumentMerger;[80%-90%];4.85
DefaultXWikiGeneratorListener;[80%-90%];1.55
DefaultXWikiStubContextProvider;[90%-100%];4.03
DefaultXarEntryType;[90%-100%];1.0
DefaultXarEntryTypeResolver;[80%-90%];4.3
DefaultXarExtensionConfiguration;[90%-100%];1.0
DefaultXarObjectPropertySerializer;[90%-100%];1.55
DefinitionDescriptionBlockDefinitionDescriptionTagHandler;[90%-100%];1.0
DefinitionListBlock;[90%-100%];1.0
DefinitionTermBlock;[90%-100%];1.0
DefinitionTermTagHandler;[90%-100%];1.0
DelegateComponentManager;[60%-70%];1.0
DeleteAction;[70%-80%];3.2
DeleteAttachmentAction;[50%-60%];5.68
DeleteDelta;[20%-30%];1.55
DeleteGroupConfirmationModal;[90%-100%];1.0
DeleteJob;[80%-90%];2.38
DeletePageOutcomePage;[80%-90%];1.55
DeleteSpaceAction;[80%-90%];1.55
DeleteUserConfirmationModal;[90%-100%];1.0
DeleteVersionsAction;[60%-70%];4.3
DeleteVersionsForm;[90%-100%];1.0
DeletedAttachment;[70%-80%];1.0
DeletedAttachmentMetadataSerializer;[70%-80%];2.65
DeletedDocument;[70%-80%];1.55
DeletedDocumentContentFileSerializer;[90%-100%];1.0
DeletingPage;[30%-40%];1.0
DemoXarEntryType;[90%-100%];1.0
DependenciesJob;[90%-100%];1.0
DependencyPane;[80%-90%];1.55
DeprecatedCheckUberspector;[80%-90%];4.03
DeprecatedContext;[90%-100%];1.0
DiffDisplayerScriptService;[20%-30%];1.55
DiffDocumentIterator;[90%-100%];2.65
DiffPlugin;[80%-90%];4.3
DiffPluginApi;[40%-50%];1.0
DiffScriptService;[10%-20%];1.55
DirectMessageDescriptor;[90%-100%];1.0
DirectMessageStreamNotificationFilter;[80%-90%];1.55
DisplayMacro;[80%-90%];2.65
DisplayMacroParameters;[70%-80%];1.0
DisplayScriptService;[70%-80%];2.38
DistinguishedName;[90%-100%];1.55
DistributionAction;[30%-40%];2.65
DistributionConfiguration;[90%-100%];1.0
DistributionInitializerListener;[90%-100%];2.65
DistributionJobStatus;[50%-60%];1.55
DistributionPingDataProvider;[80%-90%];3.2
DistributionQuestion;[30%-40%];1.0
DistributionRequest;[60%-70%];1.0
DistributionStepIcon;[90%-100%];1.0
DocBookBlockRenderer;[90%-100%];1.0
DocBookParser;[90%-100%];1.0
DocBookRenderer;[90%-100%];1.0
DocBookRendererFactory;[90%-100%];1.0
Document;[30%-40%];1.55
DocumentColorThemeReference;[70%-80%];1.0
DocumentCommentedEventDescriptor;[90%-100%];1.0
DocumentComponentManager;[90%-100%];1.0
DocumentComponentManagerFactory;[90%-100%];1.0
DocumentContentDisplayer;[80%-90%];3.2
DocumentCreatedEvent;[90%-100%];1.0
DocumentCreatedEventDescriptor;[90%-100%];1.0
DocumentCreatingEvent;[60%-70%];1.0
DocumentDeletedEvent;[30%-40%];1.0
DocumentDeletedEventDescriptor;[90%-100%];1.0
DocumentDeletedListener;[80%-90%];1.55
DocumentDeletingEvent;[40%-50%];1.0
DocumentDiffSummary;[40%-50%];1.0
DocumentDisplayerParameters;[90%-100%];1.0
DocumentDoesNotExistPage;[90%-100%];1.0
DocumentEventConverter;[80%-90%];3.2
DocumentEventListener;[90%-100%];2.65
DocumentEventRecorder;[70%-80%];7.6
DocumentInfo;[40%-50%];2.65
DocumentInstanceInputEventGenerator;[70%-80%];2.38
DocumentInstanceInputProperties;[80%-90%];1.0
DocumentInstanceOutputFilterStream;[70%-80%];2.38
DocumentInstanceOutputFilterStreamFactory;[90%-100%];1.0
DocumentInstanceOutputProperties;[80%-90%];1.0
DocumentLocaleReader;[80%-90%];3.2
DocumentMergeImporter;[80%-90%];4.85
DocumentNamespace;[90%-100%];1.0
DocumentPicker;[70%-80%];1.55
DocumentPickerModal;[80%-90%];1.0
DocumentQueryFilter;[90%-100%];3.48
DocumentReference;[90%-100%];1.55
DocumentReferenceComparator;[90%-100%];8.15
DocumentReferenceConverter;[80%-90%];2.65
DocumentResourceReference;[80%-90%];1.55
DocumentResourceReferenceEntityReferenceResolver;[90%-100%];1.55
DocumentResourceReferenceTypeParser;[30%-40%];1.0
DocumentRestURLGenerator;[80%-90%];4.03
DocumentRolledBackEvent;[80%-90%];1.0
DocumentRollingBackEvent;[80%-90%];1.0
DocumentSection;[90%-100%];1.0
DocumentSheetBinder;[90%-100%];1.0
DocumentSkinReference;[70%-80%];1.0
DocumentSolrReferenceResolver;[80%-90%];2.65
DocumentTableBlockDataSource;[80%-90%];3.48
DocumentTitleDisplayer;[70%-80%];5.95
DocumentTranslationBundleFactory;[80%-90%];2.38
DocumentTranslationBundleInitializer;[90%-100%];1.0
DocumentTreeElement;[60%-70%];1.0
DocumentTreeNode;[90%-100%];2.65
DocumentTreeNode;[40%-50%];1.0
DocumentUpdatedEvent;[90%-100%];1.0
DocumentUpdatedEventDescriptor;[90%-100%];1.0
DocumentUpdatingEvent;[60%-70%];1.0
DocumentsConfigurationSource;[90%-100%];1.0
DocumentsDeletingListener;[70%-80%];4.03
DocumentsMacroPage;[90%-100%];1.0
DocumentsModifiedDuringDistributionListener;[70%-80%];3.2
DocumentsModifiedDuringDistributionListener.DocumentStatus;[60%-70%];1.0
DomainObjectFactory;[80%-90%];1.55
DomainWikiReferenceExtractor;[80%-90%];3.48
DownloadAction;[80%-90%];3.48
DoxiaListener;[80%-90%];2.38
DoxiaPrinterAdapter;[20%-30%];1.0
DoxiaSinkListener;[30%-40%];1.0
DrawingSupplierFactory;[90%-100%];3.2
DummyLock;[20%-30%];1.0
DummyLockProvider;[90%-100%];1.0
Duration;[60%-70%];1.0
DurationFactory;[30%-40%];1.0
EditAction;[80%-90%];4.85
EditForm;[80%-90%];1.0
EditGroupModal;[70%-80%];1.0
EditGroupModal.ModalContent;[90%-100%];1.0
EditModeClassDocumentInitializer;[90%-100%];1.0
EditPage;[80%-90%];1.0
EditPage.Editor;[70%-80%];1.0
EditRightsPane;[30%-40%];1.55
EditRightsPane.Right;[90%-100%];1.0
EditRightsPane.State;[80%-90%];1.55
EditScriptService;[20%-30%];1.0
EditThemePage;[90%-100%];1.0
EditableGadgetRenderer;[80%-90%];2.65
EditorBindingClassDocumentInitializer;[90%-100%];1.0
EditorClassDocumentInitializer;[90%-100%];1.0
EditorDescriptorBuilder;[70%-80%];1.55
EditorWikiComponent;[80%-90%];1.55
EditorWikiComponentBuilder;[80%-90%];1.55
Element;[50%-60%];1.0
ElementComparator;[70%-80%];3.2
EmailClass;[30%-40%];1.0
EmailMetaClass;[90%-100%];1.0
EmbeddableComponentManager;[90%-100%];2.38
EmbeddableComponentManager.ComponentEntry;[90%-100%];1.0
EmbeddableComponentManagerFactory;[60%-70%];1.0
EmbeddableComponentManagerTest.ComponentDescriptorRoleImpl;[90%-100%];1.0
EmbeddableComponentManagerTest.DisposableRoleImplEmbeddableComponentManagerTest.DisposableWithPriorityRoleImpl;[90%-100%];1.0
EmbeddableComponentManagerTest.InitializableRoleImpl;[90%-100%];1.0
EmbeddableComponentManagerTest.LoggingRoleImpl;[90%-100%];1.0
EmbeddedSolrInstance;[80%-90%];3.2
EmptyAttributeFilter;[30%-40%];3.2
EmptyBlockChainingListener;[90%-100%];1.0
EmptyExtension;[90%-100%];1.0
EmptyLineFilter;[30%-40%];4.03
EmptyLinesBlock;[40%-50%];1.55
EmptyLocalExtensionFile;[20%-30%];1.0
EmptyWemListener;[20%-30%];1.0
EmptyXDOMChecker;[90%-100%];1.55
EndLogEvent;[50%-60%];1.0
EndTranslationMarker;[90%-100%];1.0
EndsWith;[30%-40%];1.0
EntityDiff;[90%-100%];1.55
EntityJobStatus;[30%-40%];1.0
EntityReference;[80%-90%];2.65
EntityReferenceConverter;[80%-90%];2.38
EntityReferenceFactory;[90%-100%];3.48
EntityReferenceNode;[30%-40%];1.0
EntityReferenceSet;[80%-90%];4.03
EntityReferenceSet.EntityReferenceEntry;[70%-80%];2.38
EntityReferenceSet.EntityReferenceEntryChildren;[70%-80%];3.2
EntityReferenceTree;[90%-100%];1.0
EntityReferenceTreeNode;[80%-90%];2.65
EntityReferenceTreeNode.LocaleComparator;[90%-100%];1.0
EntityRequest;[90%-100%];1.55
EntityResourceActionEntityResourceReference;[80%-90%];1.55
EntityResourceReferenceHandler;[70%-80%];1.0
EntityResourceReferenceHandlerManager;[90%-100%];1.0
EntitySelection;[90%-100%];1.55
EntityType;[90%-100%];1.55
EntryEditPage;[70%-80%];1.0
EntryEvictionConfiguration;[90%-100%];1.55
EntryNamePane;[90%-100%];1.0
EnumConverter;[80%-90%];3.2
EnvironmentSkin;[80%-90%];2.38
EqualsNode;[30%-40%];1.0
ErrorMessageMacro;[90%-100%];1.0
EscapeLikeParametersFilter;[90%-100%];1.0
EscapeLikeParametersQuery;[80%-90%];2.65
EscapeTool;[90%-100%];2.65
EventBlockRenderer;[90%-100%];1.0
EventClassDocumentInitializer;[90%-100%];1.0
EventConverter;[40%-50%];4.03
EventDumpListener;[40%-50%];1.0
EventListenerTest.TestEventListener;[70%-80%];1.0
EventReadAlertFilter;[90%-100%];1.0
EventReadEmailFilter;[90%-100%];1.0
EventRenderer;[90%-100%];1.0
EventRendererFactory;[90%-100%];1.0
EventStreamScriptService;[90%-100%];1.0
EventType;[80%-90%];1.0
EventTypePreferences;[80%-90%];1.55
EventUserFilter;[60%-70%];2.38
EventUserFilterPreferencesGetter;[80%-90%];1.0
EventsAndSubscribersSource;[60%-70%];1.0
EventsChainingRenderer;[90%-100%];1.0
EventsSorter;[70%-80%];3.2
ExecutionContext;[80%-90%];2.38
ExecutionContext.DeclarationBuilder;[90%-100%];1.0
ExecutionContextProperty;[90%-100%];2.38
ExecutionContextPropertyTest.TestCloneable;[90%-100%];1.0
ExpandedMacroBlock;[80%-90%];2.65
ExpectTestConfiguration;[90%-100%];1.0
ExplicitReferenceDocumentReferenceResolver;[90%-100%];1.0
ExplicitReferenceEntityReferenceResolverExplicitStringAttachmentReferenceResolver;[90%-100%];1.0
ExplicitStringDocumentReferenceResolver;[90%-100%];1.0
ExplicitStringEntityReferenceResolver;[90%-100%];1.0
ExportAction;[60%-70%];6.78
ExportAction.ExportArguments;[90%-100%];5.12
ExportModal;[90%-100%];1.0
ExportURLFactory;[70%-80%];2.65
ExpressionBuilder;[70%-80%];1.0
ExpressionNodeToHQLConverter;[80%-90%];5.95
ExpressionNodeToHQLConverter.HQLQueryExtendedKeyUsages;[90%-100%];1.0
ExtendedMessageFormatter;[80%-90%];5.68
ExtendedURLClassLoader;[50%-60%];1.0
ExtensionAdministrationPage;[90%-100%];1.0
ExtensionArtifact;[80%-90%];1.0
ExtensionBreakingQuestion;[30%-40%];1.55
ExtensionConverter;[60%-70%];3.2
ExtensionDependenciesPane;[90%-100%];1.0
ExtensionDescriptionPane;[80%-90%];1.0
ExtensionException;[60%-70%];1.0
ExtensionFactory;[80%-90%];1.0
ExtensionHistoryScriptService.ExtensionHistoryFilter;[90%-100%];1.0
ExtensionImportPage;[90%-100%];1.0
ExtensionInlinePage;[30%-40%];1.0
ExtensionInstalledEvent;[90%-100%];1.0
ExtensionInstallingEvent;[60%-70%];1.0
ExtensionInstanceOutputFilterStreamFactory;[90%-100%];1.0
ExtensionJobEventConverter;[70%-80%];4.03
ExtensionJobHistoryRecord;[80%-90%];1.55
ExtensionJobHistoryRecorder;[70%-80%];3.2
ExtensionLicense;[60%-70%];1.55
ExtensionManagerConfigurationException;[30%-40%];1.0
ExtensionManagerScriptService;[60%-70%];1.55
ExtensionMojoCoreExtensionRepository;[90%-100%];1.0
ExtensionMojoInstallPlanJobExtensionNotFoundException;[90%-100%];1.0
ExtensionPackager;[80%-90%];3.2
ExtensionPage;[90%-100%];1.0
ExtensionPane;[80%-90%];1.55
ExtensionPingDataProvider;[90%-100%];1.55
ExtensionPlanScriptSafeProvider;[90%-100%];1.0
ExtensionProgressPane;[70%-80%];1.55
ExtensionQuery;[80%-90%];1.0
ExtensionQuery.FilterExtensionRepositoryException;[30%-40%];1.0
ExtensionRepositoryId;[60%-70%];1.0
ExtensionRepositoryScriptSafeProvider;[70%-80%];8.98
ExtensionResourceReference;[30%-40%];2.38
ExtensionResourceReferenceTypeParser;[30%-40%];1.0
ExtensionScriptSafeProvider;[80%-90%];5.95
ExtensionSelection;[30%-40%];1.0
ExtensionTestUtils;[80%-90%];1.55
ExtensionUninstalledEvent;[90%-100%];1.0
ExtensionUninstallingEvent;[60%-70%];1.0
ExtensionUpdaterListener;[80%-90%];1.55
ExtensionUpgradedEvent;[50%-60%];1.0
ExtensionUpgradingEvent;[40%-50%];1.0
ExtensionUtils;[70%-80%];3.2
ExtensionUtils;[90%-100%];1.0
ExtensionVersionFileRESTResource;[30%-40%];5.95
ExtensionVersionRESTResource;[90%-100%];1.0
ExtensionXHTMLLinkTypeRenderer;[60%-70%];6.78
ExtensionsDistributionStep;[90%-100%];1.0
ExtensionsLiveTableElement;[90%-100%];1.0
ExtensionsPage;[90%-100%];1.0
ExternalServletURLFactory;[90%-100%];1.0
ExtractHandler.XMLTag;[60%-70%];1.0
FOPXSLFORenderer;[60%-70%];4.85
FSSkinReference;[80%-90%];1.0
FailingObject2;[90%-100%];1.0
FarmTreeNode;[80%-90%];1.55
FeedPlugin;[10%-20%];3.2
FeedPluginApi;[10%-20%];1.55
FigureBlock;[70%-80%];1.0
FigureCaptionBlock;[70%-80%];1.0
FigureCaptionMacro;[80%-90%];1.55
FigureMacro;[90%-100%];1.0
FileAssert;[80%-90%];1.0
FileDeleteTransactionRunnable;[70%-80%];3.2
FileDeletedAttachmentContent;[30%-40%];1.55
FileExtension;[90%-100%];1.0
FileSaveTransactionRunnable;[60%-70%];2.65
FileStoreReference;[80%-90%];1.55
FileStringEntityReferenceSerializer;[90%-100%];1.55
FileSystemMailContentStore;[90%-100%];2.38
FileSystemStoreUtils;[90%-100%];7.33
FileSystemURLFactory;[0%-10%];2.38
FileUploadPlugin;[70%-80%];2.38
FileUploadPluginApi;[20%-30%];1.0
FilesystemAttachmentStore.AttachmentDeleteTransactionRunnable;[80%-90%];2.38
FilesystemAttachmentVersioningStore;[30%-40%];3.2
FilesystemExportContext;[80%-90%];1.0
FilesystemResourceReferenceCopier;[80%-90%];4.85
FilesystemResourceReferenceSerializer;[90%-100%];1.0
FilesystemResourceReferenceSerializer;[90%-100%];5.95
FilterConversionFinishedFilterConversionStarted;[90%-100%];1.0
FilterDescriptor;[90%-100%];1.0
FilterElementDescriptor;[70%-80%];1.0
FilterElementParameterDescriptor;[60%-70%];1.0
FilterEventParametersConverter;[30%-40%];3.2
FilterException;[40%-50%];1.0
FilterProxy;[40%-50%];3.2
FilterScriptService;[30%-40%];1.55
FilterStreamConverterJob;[90%-100%];1.0
FilterStreamConverterJobRequest;[70%-80%];1.0
FilterStreamXMLStreamWriter;[30%-40%];2.38
FilterTestSuite;[80%-90%];1.55
FilteredSerializableEventConverter;[90%-100%];3.2
FirstAdminUserStep;[70%-80%];3.2
FixedNameEventFilter;[90%-100%];1.55
FixedSecureRandomProvider;[60%-70%];1.0
FlavorDistributionStep;[90%-100%];2.65
FlavorDistributionStep;[90%-100%];1.0
FlavorManagerScriptService;[30%-40%];1.55
FlavorPaneFlavorPicker;[90%-100%];1.0
FlavorPickerInstallStep;[90%-100%];1.0
FlavorQuery;[20%-30%];1.0
FlavorSearchJob;[60%-70%];2.38
FlavorSearchRequest;[40%-50%];1.0
FollowedUserOnlyEventFilter;[70%-80%];1.55
FontFilter;[80%-90%];4.3
FootnoteMacro;[70%-80%];1.55
ForbiddenThreadsFilter;[90%-100%];1.55
FormElement;[80%-90%];1.55
FormUrlEncodedAnnotationAddRequestReader;[90%-100%];2.38
FormUrlEncodedAnnotationRequestReader;[90%-100%];1.0
FormUrlEncodedAnnotationUpdateRequestReader;[20%-30%];1.0
FormUrlEncodedCommentReader;[70%-80%];2.65
FormUrlEncodedObjectReader;[60%-70%];3.2
FormUrlEncodedPageReader;[70%-80%];1.55
FormUrlEncodedPropertyReader;[60%-70%];3.2
FormUrlEncodedTagsReader;[30%-40%];3.2
FormatBlock;[50%-60%];1.55
FormulaMacro;[70%-80%];2.65
FormulaMacroParameters;[30%-40%];1.0
FormulaRenderer.FontSize;[60%-70%];1.0
FormulaRenderer.Type;[50%-60%];1.0
ForwardedHeader;[80%-90%];2.38
GWikiParser;[80%-90%];1.55
Gadget;[90%-100%];1.0
GalleryMacro;[80%-90%];3.2
GalleryMacroParameters;[90%-100%];1.0
GeneratorEmptyBlockChainingListener;[90%-100%];1.0
GenericKeyGenerationParameters;[90%-100%];1.0
GenericLinkReferenceParser;[90%-100%];2.65
GenericProvider;[70%-80%];3.2
GenericResourceReferenceResolver;[90%-100%];1.0
GetAction;[90%-100%];1.0
GlobalRedirectDocumentInitializer;[80%-90%];1.55
GlobalRightsAdministrationSectionPage;[30%-40%];1.55
GreaterThanNode;[30%-40%];1.0
GroovyJob;[30%-40%];4.03
GroovyMacro;[90%-100%];1.0
GroupBlock;[90%-100%];1.0
GroupEditPage;[90%-100%];1.0
GroupMessageDescriptor;[70%-80%];1.0
GroupMimeMessageFactory;[60%-70%];1.0
GroupScriptService;[40%-50%];1.0
GroupStateChainingListener;[60%-70%];1.0
GroupsCache;[90%-100%];1.55
GroupsClass;[50%-60%];1.55
GroupsClassPropertyValuesProvider;[80%-90%];2.38
GroupsMetaClass;[90%-100%];1.0
GroupsPage;[70%-80%];1.0
GuiceCompatibilityTest.ProviderImpl;[90%-100%];1.0
GuiceCompatibilityTest.RoleImpl;[90%-100%];1.0
GuiceCompatibilityTest.TestModule;[90%-100%];1.0
HTML5BlockRenderer;[90%-100%];1.0
HTML5Renderer;[90%-100%];1.0
HTML5RendererFactoryHTMLDisplayerException;[90%-100%];1.0
HTMLDisplayerScriptService;[90%-100%];1.0
HTMLMacro;[90%-100%];2.65
HTMLMacroBlockStateChainingListener;[90%-100%];1.0
HTMLMacroParameters;[90%-100%];1.0
HTMLMacroXHTMLChainingRenderer;[80%-90%];1.55
HTMLMacroXHTMLRendererHTMLMacroXHTMLRendererFactory;[90%-100%];1.0
HTMLMimeBodyPartFactory;[90%-100%];2.38
HTMLParser;[90%-100%];1.0
HTMLUtils;[80%-90%];3.2
HTMLUtils.XWikiXMLOutputter;[70%-80%];2.65
HTMLVelocityMacroFilter;[90%-100%];3.2
HeaderBlock;[30%-40%];1.55
HeaderLevel;[80%-90%];3.2
HeaderTagHandler;[90%-100%];1.0
HeadingLevelSplittingCriterion;[90%-100%];1.55
HeadingNameNamingCriterion;[80%-90%];4.3
HelloWorldUIExtension;[70%-80%];1.0
HexBinaryStringEncoder;[90%-100%];1.0
HexBinaryStringEncoderTest;[90%-100%];1.0
HibernateAttachmentVersioningStore;[70%-80%];1.55
HibernateDataMigrationManager;[80%-90%];2.38
HibernateStore;[70%-80%];3.2
HiddenDocumentFilter;[90%-100%];1.0
HiddenPageFilter;[80%-90%];1.55
HiddenSpaceFilter;[90%-100%];1.0
HistoryPane;[60%-70%];1.55
HomePage;[50%-60%];1.0
HomePageRedirectServlet;[70%-80%];1.55
HorizontalLineBlock;[60%-70%];1.0
HorizontalLineTagHandler;[90%-100%];1.0
HourlyWatchListJobDocumentInitializer;[90%-100%];1.0
HqlQueryExecutor;[80%-90%];3.2
HqlQueryUtils;[80%-90%];2.38
HttpServletUtils;[80%-90%];3.48
Icon;[90%-100%];1.0
IconContextStore;[80%-90%];2.65
IconException;[90%-100%];1.0
IconResourceReferenceTypeParser;[90%-100%];1.0
IconSet;[90%-100%];1.0
IconSetContext;[90%-100%];2.65
IconThemeListener;[90%-100%];1.55
IconTransformation;[90%-100%];4.03
IdBlock;[20%-30%];1.55
IdGenerator;[80%-90%];2.65
IdMacro;[90%-100%];1.0
IdMacroParameters;[90%-100%];1.0
IgnoreElementRule;[90%-100%];1.55
ImageBlock;[50%-60%];1.55
ImageData;[40%-50%];1.0
ImageFilter;[80%-90%];5.12
ImageId;[90%-100%];1.0
ImagePlugin;[70%-80%];3.48
ImgTagHandler;[80%-90%];2.65
ImplementationDescriptorManagerTest;[90%-100%];1.0
ImplicitlyAllowedValuesDBListQueryBuilder;[90%-100%];4.3
ImplicitlyAllowedValuesPageQueryBuilder;[80%-90%];3.2
ImportAction;[30%-40%];5.12
ImportAdministrationSectionPage;[80%-90%];1.0
InListOfReadEventsNode;[60%-70%];1.0
InNode;[70%-80%];1.0
InSubQueryNode;[70%-80%];1.0
IncludeMacro;[80%-90%];2.65
IncludeMacroParameters;[70%-80%];1.0
IncompatibleVersionConstraintException;[30%-40%];1.0
IndentVelocityMacroFilter;[90%-100%];1.0
IndexedObjectReference;[80%-90%];2.38
IndexerJob;[80%-90%];2.38
IndexerRequest;[50%-60%];1.0
InfinispanCache;[90%-100%];1.55
InfinispanCacheEntryInfinispanCacheEntryEvent;[90%-100%];1.0
InfinispanCacheEvent;[90%-100%];1.0
InfinispanCacheFactory;[90%-100%];2.38
InfinispanCacheTest;[90%-100%];1.0
InfinispanConfigurationLoader;[80%-90%];3.48
InfoMessageMacro;[90%-100%];1.0
InitializationException;[90%-100%];1.0
InlineAction;[60%-70%];15.03
InlineDiffChunk;[70%-80%];1.0
InlineFilterListener;[60%-70%];1.0
InlineFilterListener;[40%-50%];1.0
InlinePage;[90%-100%];1.55
InlineState;[30%-40%];1.0
InputSourceConverter;[50%-60%];6.5
InputStreamConverter;[80%-90%];3.2
InputStreamConverter;[70%-80%];2.38
InputTestConfiguration;[90%-100%];1.0
InsertDelta;[10%-20%];1.55
InspectInvitationsPage;[70%-80%];1.55
InspectInvitationsPage.AsAdmin;[90%-100%];1.0
InspectInvitationsPage.AsAdmin.OneMessage;[50%-60%];1.55
InspectInvitationsPage.AsUser;[90%-100%];1.0
InspectInvitationsPage.AsUser.OneMessage;[30%-40%];1.0
InstallException;[90%-100%];1.0
InstallJob;[90%-100%];2.38
InstallPlanJob;[80%-90%];1.55
InstallRequest;[70%-80%];1.0
InstalledExtensionScriptService;[40%-50%];1.55
InstanceId;[40%-50%];1.55
InstanceIdConverter;[70%-80%];1.55
InstanceInputFilterStream;[80%-90%];1.55
InstanceInputProperties;[80%-90%];1.0
InstanceOutputFilterStream;[80%-90%];1.55
InstanceOutputProperties;[70%-80%];1.55
InsufficientPrivilegesException;[90%-100%];1.0
IntegerExtensionPropertySerializer;[90%-100%];1.0
InterWikiReferenceTypeSerializer;[80%-90%];1.55
InterWikiResourceReference;[90%-100%];1.0
InterWikiResourceReferenceTypeParser;[70%-80%];1.55
InternalNotificationPreference;[70%-80%];1.0
InternalSkinConfiguration;[80%-90%];1.55
InternalSkinManager;[70%-80%];3.2
InternalTemplateManager;[60%-70%];2.38
InternalTemplateManager.AbtractTemplate;[70%-80%];2.38
InternalTemplateManager.ClassloaderTemplate;[90%-100%];1.0
InternalTemplateManager.DefaultTemplate;[90%-100%];1.55
InternalTemplateManager.DefaultTemplateContent;[60%-70%];1.55
InternalTemplateManager.EnvironmentTemplate;[90%-100%];1.0
InternalTemplateManager.FilesystemTemplateContent;[60%-70%];1.55
InternalTemplateManager.StringTemplate;[90%-100%];1.0
InvalidEntityReferenceException;[30%-40%];1.0
InvalidExtensionException;[30%-40%];1.0
InvalidExtensionIdException;[30%-40%];1.0
InvalidURLEvent;[40%-50%];1.0
InvalidVersionConstraintException;[30%-40%];1.0
InvalidVersionRangeException;[30%-40%];1.0
InvitationActionConfirmationElement;[90%-100%];1.0
InvitationFooterElementInvitationGuestActionsPage;[80%-90%];1.55
InvitationGuestActionsPage.Action;[90%-100%];1.0
InvitationMessageDisplayElement;[50%-60%];1.0
InvitationSenderPage;[80%-90%];1.55
InvitationSenderPage.InvitationSentPage;[90%-100%];1.0
ItalicTagHandler;[90%-100%];1.0
IterableResultScriptSafeProviderJARFileTranslationBundle;[90%-100%];1.0
JAXBConverter;[70%-80%];2.65
JCaptchaCaptcha;[30%-40%];1.0
JCaptchaResourceReferenceHandler;[0%-10%];5.12
JGroupsNetworkAdapter;[60%-70%];2.65
JMXVelocityEngine;[90%-100%];1.55
JPQLParser;[90%-100%];1.0
JSONTool;[80%-90%];2.38
JSONTool.JSONArraySerializer;[90%-100%];1.0
JSONTool.JSONObjectSerializer;[90%-100%];1.0
JSONToolTest.MockBean;[80%-90%];1.0
JSPWikiParser;[90%-100%];1.0
JarExtensionHandler;[80%-90%];2.38
JarExtensionJobFinishingListener;[80%-90%];3.2
JarExtensionJobFinishingListener.UninstalledExtensionCollection;[90%-100%];4.03
JarProxy;[70%-80%];4.03
JarProxy.CachedJarFile;[60%-70%];1.55
JarURLStreamHandler;[30%-40%];3.2
JavaPingDataProviderJavascriptExtensionDocumentInitializer;[90%-100%];1.0
JaxRsServletProvider;[30%-40%];1.0
JaxRsServletReloader;[40%-50%];2.38
JettyStandaloneExecutor;[90%-100%];1.55
JobException;[30%-40%];1.0
JobExecutor;[80%-90%];3.2
JobFinishedEvent;[60%-70%];1.0
JobFinishingEvent;[60%-70%];1.0
JobGroupPath;[80%-90%];1.55
JobRequestContext;[70%-80%];1.55
JobRequestContextInitializer;[70%-80%];4.3
JobRootResourceReferenceHandler;[0%-10%];3.2
JobStartedEvent;[40%-50%];1.0
JobStatusResourceImpl;[90%-100%];1.0
JobStatusSerializerTest.CustomSerializableObject;[90%-100%];1.0
JobStatusSerializerTest.NotSerializableCustomObject;[60%-70%];1.0
JobStatusSerializerTest.SerializableCrossReferenceObjectJobStatusSerializerTest.SerializableCustomObject;[90%-100%];1.0
JobStatusSerializerTest.SerializableObjectTest;[90%-100%];1.0
JobStatusSerializerTest.TestException;[90%-100%];1.0
JobsResourceImpl;[60%-70%];8.15
JodaTimePlugin;[20%-30%];1.0
JodaTimePluginApi;[10%-20%];1.0
JsExtension;[90%-100%];1.0
JsExtension.JsCompressor;[60%-70%];4.03
JsResourceSkinExtensionPlugin;[40%-50%];1.55
JsSkinExtensionPlugin;[80%-90%];1.55
JsSkinFileExtensionPlugin;[90%-100%];1.55
JspWikiParser;[80%-90%];1.55
JsxAction;[30%-40%];1.0
JsxExportURLFactoryActionHandler;[90%-100%];1.0
KeyDerivationFunctionParameters;[30%-40%];1.0
KeyParameter;[90%-100%];1.0
KeyUsage;[90%-100%];1.0
KeyWithIVParameters;[90%-100%];1.0
LESSCompilerException;[90%-100%];1.0
LESSConfiguration;[90%-100%];1.0
LESSContext;[90%-100%];1.0
LESSExportActionListener;[90%-100%];1.55
LESSObjectPropertyResourceReference;[30%-40%];1.0
LESSSkinFileResourceReference;[80%-90%];1.55
LRUCacheConfiguration;[90%-100%];1.0
LRUEvictionConfiguration;[40%-50%];1.55
LanguageQueryFilter;[90%-100%];1.55
LargeStringProperty;[90%-100%];1.0
LeftPanelsUIExtensionManager;[90%-100%];1.0
LegacyDataMigration;[10%-20%];1.55
LegacyEnvironmentConfiguration;[60%-70%];3.2
