Class;Coverage;Estimate Complexity
AbstractOperatorNode;[90%-100%];1.0
AbstractOutputStreamOutputTarget;[60%-70%];1.55
AbstractPBCipher;[40%-50%];1.0
AbstractPanelsUIExtensionManager;[90%-100%];5.95
AbstractParametrizedRestURLGenerator;[80%-90%];3.2
AbstractParentResourceReferenceResolver;[80%-90%];5.12
AbstractParser;[30%-40%];1.0
AbstractProgressEvent;[90%-100%];1.0
AbstractPropChangeAction;[30%-40%];3.2
AbstractQueryManager;[70%-80%];1.55
AbstractQuestionEvent;[70%-80%];1.55
AbstractRatingEvent;[0%-10%];1.0
AbstractReader;[80%-90%];6.78
AbstractReaderInputSource;[70%-80%];1.55
AbstractReferenceEntityReferenceResolver;[90%-100%];8.98
AbstractRegistrationPage;[90%-100%];2.38
AbstractRemoteExtension;[60%-70%];1.0
AbstractRenderer;[30%-40%];1.0
AbstractRepositorySerializer;[60%-70%];1.0
AbstractRequest;[80%-90%];1.0
AbstractResource;[70%-80%];1.0
AbstractResourceReferenceEntityReferenceResolver;[90%-100%];2.65
AbstractResourceReferenceHandler;[90%-100%];1.0
AbstractResourceReferenceResolver;[80%-90%];2.38
AbstractResourceSkinExtensionPlugin;[50%-60%];1.55
AbstractRightsDocumentInitializer;[90%-100%];1.0
AbstractRsaSignerFactoryTest;[90%-100%];1.55
AbstractSLF4JLogChute;[50%-60%];5.95
AbstractSafeObject;[90%-100%];1.0
AbstractScriptCheckerListener;[60%-70%];3.48
AbstractScriptMacroPermissionPolicy;[90%-100%];1.0
AbstractScriptSafeProviderAbstractSearchResult;[90%-100%];1.0
AbstractSearchSource;[90%-100%];1.0
AbstractSecurityRuleEntry;[30%-40%];1.55
AbstractServletResourceReferenceHandler;[80%-90%];2.65
AbstractSheetBinder;[60%-70%];2.65
AbstractSignerFactory;[70%-80%];4.03
AbstractSkinExtensionDocumentInitializer;[90%-100%];1.0
AbstractSkinExtensionPlugin;[80%-90%];1.55
AbstractSolrInstance;[60%-70%];1.0
AbstractSolrMetadataExtractor;[90%-100%];3.48
AbstractSolrReferenceResolver;[90%-100%];1.0
AbstractSpacesConfigurationSource;[90%-100%];3.2
AbstractSpacesConfigurationSource.SpaceConfigurationSource;[90%-100%];1.0
AbstractSpacesConfigurationSource.SpaceIterator;[70%-80%];1.55
AbstractStackingInlineContentChainingListener;[70%-80%];1.0
AbstractStoreTypeDataMigration;[40%-50%];1.55
AbstractStreamParser;[80%-90%];1.55
AbstractStreamRendererFactory;[30%-40%];1.55
AbstractStringEntityReferenceResolver;[80%-90%];4.03
AbstractSxAction;[80%-90%];4.85
AbstractTableBlockDataSource;[80%-90%];4.3
AbstractTemplateEvent;[10%-20%];1.55
AbstractTemplateMimeBodyPartFactory;[90%-100%];5.95
AbstractTemplateMimeMessageFactory;[90%-100%];2.65
AbstractTest;[80%-90%];1.0
AbstractTestCache;[90%-100%];1.0
AbstractThreadEventListener;[90%-100%];1.55
AbstractTransformation;[60%-70%];1.0
AbstractTranslation;[80%-90%];1.0
AbstractTranslationBundle;[80%-90%];1.55
AbstractTree;[90%-100%];3.2
AbstractTreeNode;[70%-80%];1.55
AbstractTypedEditScriptService;[20%-30%];1.0
AbstractUIExtensionClassDocumentInitializer;[90%-100%];1.0
AbstractURIResourceReferenceTypeParser;[90%-100%];1.0
AbstractURLResourceTranslationBundle;[80%-90%];3.2
AbstractUnaryOperatorNode;[30%-40%];1.55
AbstractUntypedReferenceParser;[90%-100%];3.2
AbstractUserProfilePage;[60%-70%];1.0
AbstractUsersAndGroupsClassPropertyValuesProvider;[90%-100%];3.2
AbstractValueNode;[70%-80%];1.0
AbstractVfsResourceReferenceSerializer;[90%-100%];1.0
AbstractWatchListJobDocumentInitializer;[70%-80%];2.38
AbstractWhereQueryFilter;[90%-100%];5.12
AbstractWikiEvent;[60%-70%];1.0
AbstractWikiMacroExecutionEvent;[90%-100%];1.0
AbstractWikiModelParser;[80%-90%];1.0
AbstractWikiNotificationRenderer;[80%-90%];1.55
AbstractWikiObjectPropertyReader;[80%-90%];4.03
AbstractWikiObjectPropertyReader.WikiObjectProperty;[90%-100%];1.0
AbstractWikiParserTest;[90%-100%];1.0
AbstractWikiReferenceExtractor;[80%-90%];2.65
AbstractWikiResource;[80%-90%];1.0
AbstractWikiUIExtension;[90%-100%];1.55
AbstractWrapperSkinExtension;[90%-100%];1.0
AbstractWrappingObject;[90%-100%];1.0
AbstractWrappingObject;[90%-100%];1.0
AbstractX509IssuerAndSerialQuery;[90%-100%];1.0
AbstractX509KeyIdentifierQuery;[90%-100%];1.0
AbstractX509StoreQuery;[70%-80%];3.2
AbstractX509SubjectQuery;[90%-100%];1.0
AbstractXClassPropertyEvent;[90%-100%];1.0
AbstractXDelta;[90%-100%];1.0
AbstractXHTMLLinkTypeRenderer;[80%-90%];2.38
AbstractXMLBeanInputFilterStreamFactory;[90%-100%];1.0
AbstractXMLBeanOutputFilterStreamFactory;[60%-70%];1.55
AbstractXMLInputFilterStream;[80%-90%];1.55
AbstractXMLSerializer;[80%-90%];2.65
AbstractXObjectEventAbstractXObjectPropertyEvent;[90%-100%];1.0
AbstractXWIKI14697DataMigration;[10%-20%];2.38
AbstractXWikiAuthService;[70%-80%];3.2
AbstractXWikiEventConverter;[80%-90%];2.65
AbstractXWikiPreferencesConfigurationSource;[70%-80%];3.2
AbstractXWikiRecordableEventDescriptor;[90%-100%];1.0
AbstractXWikiRunnable;[70%-80%];1.0
AbstractXWikiStore;[60%-70%];5.68
AbstractXWikiSyntaxRenderer;[90%-100%];1.0
AbstractXYPlotGenerator;[60%-70%];4.03
AbstractXarEntryType;[90%-100%];1.0
AccessDeniedException;[90%-100%];1.0
AccumulationXMLFilter;[80%-90%];1.0
ActionExecutedEvent;[90%-100%];1.0
ActionExecutingEvent;[90%-100%];1.0
ActionExecutionEvent;[90%-100%];1.55
ActionExecutionEventConverter;[40%-50%];3.2
ActionFilter;[80%-90%];2.65
ActiveInstallsHomePage;[30%-40%];1.0
ActiveInstallsInitializerListener;[90%-100%];1.0
ActiveInstallsScriptService;[40%-50%];1.55
ActivityEventImpl;[70%-80%];1.0
ActivityStreamCleaner;[20%-30%];2.38
ActivityStreamImpl;[40%-50%];2.38
ActivityStreamPlugin;[70%-80%];1.0
AddTagsPane;[90%-100%];1.0
AddressUserDataExtractor;[70%-80%];1.55
AddressUserIterator;[70%-80%];2.65
AddressesConverter;[80%-90%];2.65
AdminAction;[70%-80%];12.55
AdminAuthenticationRuleAdministrablePage;[90%-100%];1.0
AdministrationMenu;[70%-80%];1.0
AdministrationPage;[60%-70%];1.0
AdministrationSectionPage;[90%-100%];1.0
AdvancedSearchPane;[80%-90%];1.0
AetherExtensionDependency;[80%-90%];1.55
AetherExtensionFile;[90%-100%];1.0
AetherExtensionRepository;[70%-80%];3.2
AetherUtils;[70%-80%];1.55
AggregatedIterableResult;[80%-90%];1.55
AliasGenerator;[90%-100%];1.0
AllConfigurationSource;[90%-100%];1.0
AllDocsPage;[60%-70%];1.0
AllEditorBindingsSourceAllEvent;[90%-100%];1.0
AllObjectsForClassNameResourceImpl;[80%-90%];3.2
AllowEditToNoOneRule;[90%-100%];1.0
AlwaysMatchingEventFilter;[90%-100%];1.0
AndNode;[30%-40%];1.0
AnnotatableViewPage;[80%-90%];1.0
AnnotatedHTML5ChainingRenderer;[40%-50%];1.55
AnnotatedHTML5RendererAnnotatedHTML5RendererFactory;[90%-100%];1.0
AnnotatedXHTMLBlockRenderer;[90%-100%];1.0
AnnotatedXHTMLChainingRenderer;[90%-100%];1.0
AnnotatedXHTMLImageRenderer;[90%-100%];1.0
AnnotatedXHTMLLinkRenderer;[90%-100%];1.0
AnnotatedXHTMLRenderer;[90%-100%];1.0
AnnotatedXHTMLRendererFactory;[90%-100%];1.0
Annotation;[60%-70%];1.55
AnnotationAddedEvent;[60%-70%];1.0
AnnotationClassDocumentInitializer;[90%-100%];1.55
AnnotationConfigurationSource;[90%-100%];1.0
AnnotationDeletedEvent;[60%-70%];1.0
AnnotationEvent;[90%-100%];1.0
AnnotationEventGeneratorEventListener;[80%-90%];3.48
AnnotationGeneratorChainingListener;[80%-90%];2.38
AnnotationMarkersXHTMLPrinter;[90%-100%];2.38
AnnotationUpdatedEvent;[60%-70%];1.0
AnnotationXHTMLChainingRenderer;[30%-40%];1.55
AnnotationXHTMLRenderer;[90%-100%];1.0
AnnotationsLabel;[70%-80%];1.0
AnnotationsPane;[40%-50%];1.55
AnnotationsRESTResource;[20%-30%];3.48
AnnotationsWindow;[70%-80%];1.0
AnswerReplayer;[80%-90%];2.65
AnyBlockMatcher;[90%-100%];1.0
AnyCharParameterPart;[90%-100%];1.0
AnyCharsParameterPart;[90%-100%];1.0
Api;[30%-40%];1.55
AppWithinMinutesHomePage;[70%-80%];1.0
ApplicationClassEditPage;[70%-80%];1.55
ApplicationCreatePage;[70%-80%];1.0
ApplicationEditPage;[90%-100%];1.0
ApplicationHomeEditPage;[30%-40%];1.0
ApplicationHomePage;[30%-40%];1.0
ApplicationIndexHomePage;[90%-100%];1.0
ApplicationPreferences;[90%-100%];1.0
ApplicationReadyEvent;[90%-100%];1.0
ApplicationStartedEvent;[90%-100%];1.0
ApplicationStoppedEvent;[90%-100%];1.0
ApplicationTemplateProviderEditPage;[20%-30%];1.0
ApplicationsLiveTableElement;[80%-90%];1.0
ApplicationsPanel;[80%-90%];1.0
ApplicationsPanelAdministrationPage;[90%-100%];1.0
ArtifactModel;[90%-100%];1.0
ArtifactResolver;[70%-80%];2.65
AsymmetricKeyPair;[90%-100%];1.0
AsyncRendererCacheListener;[80%-90%];2.65
AsyncRendererConfiguration;[90%-100%];1.0
AsyncRendererExecutorResponse;[90%-100%];1.55
AsyncRendererJob;[80%-90%];1.55
AsyncRendererJobRequest;[60%-70%];1.0
AsyncRendererJobStatus;[90%-100%];1.55
AsyncRendererResourceReference;[70%-80%];1.0
AsyncRendererResourceReferenceHandler;[70%-80%];4.03
AsyncRendererResourceReferenceResolver;[80%-90%];5.12
AsyncRendererResult;[90%-100%];1.0
AsyncRendererWrapper;[70%-80%];1.0
AsyncScriptService;[40%-50%];1.0
AttachController;[30%-40%];1.0
AttachDriver;[90%-100%];1.0
AttachInputSocket;[30%-40%];1.55
AttachInputSocket.BufferReadOnlyChannel;[20%-30%];1.55
AttachNode;[30%-40%];1.55
AttachURIVfsResourceReferenceSerializer;[90%-100%];1.0
AttachVfsResourceReferenceSerializer;[90%-100%];1.0
Attachment;[30%-40%];1.55
AttachmentAddedEvent;[60%-70%];1.0
AttachmentArchiveSaveRunnable;[80%-90%];4.03
AttachmentContentStreamProvider;[90%-100%];1.0
AttachmentDeletedEvent;[60%-70%];1.0
AttachmentDiff;[90%-100%];1.55
AttachmentHistoryResourceImpl;[80%-90%];3.2
AttachmentListMetadataSerializer;[70%-80%];1.55
AttachmentMetadataSerializer;[80%-90%];2.65
AttachmentMimeBodyPartFactory;[90%-100%];1.55
AttachmentOfficeDocumentView;[30%-40%];1.0
AttachmentQueryFilter;[90%-100%];3.48
AttachmentReader;[80%-90%];10.08
AttachmentReader.WikiAttachment;[90%-100%];4.3
AttachmentReference;[70%-80%];1.55
AttachmentResourceImpl;[80%-90%];3.48
AttachmentResourceReference;[10%-20%];1.55
AttachmentResourceReferenceTypeParser;[90%-100%];1.0
AttachmentSolrReferenceResolver;[90%-100%];1.0
AttachmentURLConnection;[80%-90%];1.55
AttachmentURLStreamHandler;[80%-90%];1.55
AttachmentUpdatedEvent;[40%-50%];1.0
AttachmentVersionResourceImpl;[60%-70%];4.03
AttachmentWikiResource;[60%-70%];1.0
AttachmentXHTMLLinkTypeRenderer;[70%-80%];1.55
AttachmentsPane;[50%-60%];1.0
AttachmentsResourceImpl;[70%-80%];8.43
AttributeFilter;[90%-100%];4.03
AuthenticationRule;[90%-100%];1.0
AuthorizationException;[40%-50%];1.55
AuthorizationSettlerProvider;[80%-90%];1.55
AutomaticWatchModeClassDocumentInitializer;[90%-100%];1.0
AutomaticWatchModeListener;[70%-80%];4.03
AutomaticWatchModeListener;[80%-90%];2.65
AverageRatingClassDocumentInitializer;[90%-100%];1.0
AverageRatingProtectionListener;[50%-60%];2.65
AxisConfigurator;[70%-80%];4.3
AxisType;[80%-90%];1.55
BackwardCompatibleParameterDescriptor;[10%-20%];1.0
BackwardCompatiblePropertyDescriptor;[10%-20%];1.0
BarPlotGeneratorBase64BinaryStringEncoder;[90%-100%];1.0
Base64BinaryStringEncoderTest;[90%-100%];1.0
BaseAttachmentsResource;[70%-80%];6.5
BaseAttachmentsResource.AttachmentInfo;[90%-100%];1.0
BaseClass;[70%-80%];2.38
BaseCollection;[30%-40%];2.38
BaseElement;[70%-80%];2.38
BaseElement;[90%-100%];1.0
BaseModal;[80%-90%];1.0
BaseObject;[70%-80%];2.38
BaseObjectEventGenerator;[80%-90%];5.12
BaseObjectOutputFilterStream;[80%-90%];3.2
BaseObjectsResource;[30%-40%];1.55
BasePage;[70%-80%];1.0
BasePropertyEventGenerator;[90%-100%];1.0
BasePropertyOutputFilterStream;[80%-90%];2.65
BaseSearchResult;[80%-90%];8.98
BaseStringProperty;[80%-90%];1.55
BatikSVGRasterizer;[90%-100%];2.65
BcAesCbcPaddedCipherFactory;[90%-100%];1.0
BcAesCbcPaddedCipherFactoryTest;[90%-100%];1.0
BcBinaryStringEncoderInputStream;[70%-80%];2.65
BcBinaryStringEncoderInputStream.InputBuffer;[80%-90%];2.65
BcBinaryStringEncoderOutputStream;[80%-90%];2.65
BcBlowfishCbcPaddedCipherFactory;[90%-100%];1.0
BcBlowfishCbcPaddedCipherFactoryTest;[90%-100%];1.0
BcBufferedAsymmetricCipher;[30%-40%];1.55
BcCMSSignedDataVerified;[80%-90%];1.0
BcCMSSignerInfo;[50%-60%];1.0
BcCMSSignerVerifiedInformation;[90%-100%];1.0
BcCast5CbcPaddedCipherFactory;[90%-100%];1.0
BcCast5CbcPaddedCipherFactoryTest;[90%-100%];1.0
BcCast6CbcPaddedCipherFactory;[90%-100%];1.0
BcCast6CbcPaddedCipherFactoryTest;[90%-100%];1.0
BcDESKeyGenerator;[90%-100%];1.0
BcDESedeKeyGenerator;[90%-100%];1.0
BcDSAKeyFactory;[70%-80%];1.55
BcDSAKeyParameterGenerator;[70%-80%];2.65
BcDSAwithSHA1SignerFactory;[90%-100%];1.0
BcDesCbcPaddedCipherFactory;[90%-100%];1.0
BcDesCbcPaddedCipherFactoryTest;[90%-100%];1.0
BcDesEdeCbcPaddedCipherFactoryBcDesEdeCbcPaddedCipherFactoryTest;[90%-100%];1.0
BcExtensionUtils;[70%-80%];2.38
BcMD5DigestFactory;[90%-100%];1.0
BcMD5withRsaSignerFactory;[90%-100%];1.0
